struct     (Line: 1, Char: 1)
Point      (Line: 1, Char: 8)
{          (Line: 1, Char: 14)
integer    (Line: 2, Char: 5)
x          (Line: 2, Char: 13)
,          (Line: 2, Char: 14)
y          (Line: 2, Char: 16)
}          (Line: 3, Char: 1)
void       (Line: 5, Char: 1)
move       (Line: 5, Char: 6)
(          (Line: 5, Char: 10)
Point      (Line: 5, Char: 11)
p          (Line: 5, Char: 17)
,          (Line: 5, Char: 18)
integer    (Line: 5, Char: 20)
dx         (Line: 5, Char: 28)
,          (Line: 5, Char: 30)
integer    (Line: 5, Char: 32)
dy         (Line: 5, Char: 40)
)          (Line: 5, Char: 42)
{          (Line: 5, Char: 44)
p          (Line: 6, Char: 5)
.          (Line: 6, Char: 6)
x          (Line: 6, Char: 7)
=          (Line: 6, Char: 9)
p          (Line: 6, Char: 11)
.          (Line: 6, Char: 12)
x          (Line: 6, Char: 13)
+          (Line: 6, Char: 15)
dx         (Line: 6, Char: 17)
p          (Line: 7, Char: 5)
.          (Line: 7, Char: 6)
y          (Line: 7, Char: 7)
=          (Line: 7, Char: 9)
p          (Line: 7, Char: 11)
.          (Line: 7, Char: 12)
y          (Line: 7, Char: 13)
+          (Line: 7, Char: 15)
dy         (Line: 7, Char: 17)
}          (Line: 8, Char: 1)
boolean    (Line: 10, Char: 1)
isEqual    (Line: 10, Char: 9)
(          (Line: 10, Char: 16)
Point      (Line: 10, Char: 17)
a          (Line: 10, Char: 23)
,          (Line: 10, Char: 24)
Point      (Line: 10, Char: 26)
b          (Line: 10, Char: 32)
)          (Line: 10, Char: 33)
{          (Line: 10, Char: 35)
if         (Line: 11, Char: 5)
(          (Line: 11, Char: 8)
a          (Line: 11, Char: 9)
.          (Line: 11, Char: 10)
x          (Line: 11, Char: 11)
==         (Line: 11, Char: 13)
b          (Line: 11, Char: 16)
.          (Line: 11, Char: 17)
x          (Line: 11, Char: 18)
&          (Line: 11, Char: 20)
&          (Line: 11, Char: 21)
a          (Line: 11, Char: 23)
.          (Line: 11, Char: 24)
y          (Line: 11, Char: 25)
==         (Line: 11, Char: 27)
b          (Line: 11, Char: 30)
.          (Line: 11, Char: 31)
y          (Line: 11, Char: 32)
)          (Line: 11, Char: 33)
{          (Line: 11, Char: 35)
return     (Line: 12, Char: 9)
TRUE       (Line: 12, Char: 16)
}          (Line: 13, Char: 5)
else       (Line: 13, Char: 7)
{          (Line: 13, Char: 12)
return     (Line: 14, Char: 9)
FALSE      (Line: 14, Char: 16)
}          (Line: 15, Char: 5)
}          (Line: 16, Char: 1)
void       (Line: 18, Char: 1)
main       (Line: 18, Char: 6)
(          (Line: 18, Char: 10)
)          (Line: 18, Char: 11)
{          (Line: 18, Char: 13)
Point      (Line: 19, Char: 5)
pt1        (Line: 19, Char: 11)
Point      (Line: 20, Char: 5)
pt2        (Line: 20, Char: 11)
pt1        (Line: 21, Char: 5)
.          (Line: 21, Char: 8)
x          (Line: 21, Char: 9)
=          (Line: 21, Char: 11)
10         (Line: 21, Char: 13)
pt1        (Line: 22, Char: 5)
.          (Line: 22, Char: 8)
y          (Line: 22, Char: 9)
=          (Line: 22, Char: 11)
20         (Line: 22, Char: 13)
pt2        (Line: 23, Char: 5)
.          (Line: 23, Char: 8)
x          (Line: 23, Char: 9)
=          (Line: 23, Char: 11)
10         (Line: 23, Char: 13)
pt2        (Line: 24, Char: 5)
.          (Line: 24, Char: 8)
y          (Line: 24, Char: 9)
=          (Line: 24, Char: 11)
20         (Line: 24, Char: 13)
disp       (Line: 25, Char: 5)
(          (Line: 25, Char: 9)
"Before move: (" (Line: 25, Char: 10)
+          (Line: 25, Char: 27)
pt1        (Line: 25, Char: 29)
.          (Line: 25, Char: 32)
x          (Line: 25, Char: 33)
+          (Line: 25, Char: 35)
